lon,-72.682500
lat,41.938100
elev,57.900000
ID,USW00014740

month_since_0_CE,realization,mean_prediction,PI95_low,PI95_up
1,-3.88854671950612,-3.88854671950612,-9.93372225409485,1.51119483533902
2,-1.23404012626173,-1.23404012626173,-5.33465941520213,3.09555252112312
3,3.21063934601313,1.99585933658682,-1.36948067481507,5.26240946195675
4,8.48845432342266,8.59833139802508,6.0041428364425,11.0253440604683
5,14.8200060878574,14.5681768330157,11.9415104781543,17.3514025438975
6,20.9335799919138,19.500305176427,17.2880194517865,21.5933418370938
7,22.523704623205,22.1381791429739,19.7983524095184,24.4737611390302
8,22.3158918429395,21.5513599934623,19.3887687388735,23.702343751263
9,16.4313590623702,17.5995062067475,15.0026097510535,20.384009773604
10,8.47310351213292,9.51319093949567,6.90379523349916,11.9653241923806
11,4.10810217754586,3.59795292102406,0.678499023221249,6.22279927592616
12,-2.63589415649291,-1.27623182346866,-5.47608226820599,3.15621418744061
13,-3.06964137897125,-4.00708984310298,-9.15725333955994,1.63090697038448
14,0.110486627373284,-0.369730277753412,-4.95346896645571,3.89014850711902
15,1.49287711958446,2.63121091635775,-0.69641839298986,6.0548469223804
16,9.00674602772957,8.52050206526498,5.86153945240028,11.016101366578
17,13.6791613722894,12.9676065254293,10.1864850722876,15.8324600028803
18,18.4946957897656,19.6480599645314,17.4359748771853,21.8041631605311
19,23.2243222002182,22.2442395143887,19.9441373289505,24.3693268717243
20,21.0628707020472,21.9206338258931,19.9931422128584,24.0210509363052
21,17.6991467062287,17.5227723836879,14.7124882634099,20.0380614291753
22,11.5757395566209,11.7874655503164,9.1534407571151,14.3542051924135
23,5.65397195847709,4.79770064820835,2.05289939112998,7.50686759921662
24,-1.28640510759658,-1.25231985947713,-5.75531485871251,3.09750570122178
25,-3.756737923693,-3.7136563736212,-9.15171619836479,1.85823343081944
26,-2.05325654243797,-1.5892714033831,-6.3119177689125,2.9016656511734
27,1.96898049058152,2.5467084560535,-0.960606872451893,5.84506601588687
28,9.10312001605973,8.61015978560286,5.96590672381146,11.2127606932046
29,13.5395401767467,14.3212535708022,11.5953817732473,17.3023007340101
30,18.9584525157579,19.3630583022879,17.1351726065002,21.5644037460131
31,20.2786011159235,22.4181187632901,20.0703919642795,24.7615556505594
32,21.2346694377396,21.8561702136079,19.8386527085042,23.8007966811214
33,18.6112304213783,17.2859616049717,14.6800462666016,19.9990376664222
34,12.137316372471,10.2479490776643,7.54194060516705,12.9236391223955
35,2.93231257779573,3.84193088798574,1.2210217475833,6.4490971975344
36,-1.0757605175817,-0.923282179730948,-5.14563025256359,3.39520080591304
37,-3.40456294293621,-3.66219369975269,-9.55146530726812,2.20238223939681
38,-1.82728924167638,-1.29430845640475,-5.84516299329612,3.06091989796857
39,2.0844509405061,2.78998527032715,-0.665127989333148,6.19540993561592
40,6.28701517312762,8.65719945735929,6.01256653754695,11.2023343256044
41,14.1153486929635,15.0262828165193,12.2981388935264,17.7870137318617
42,18.667683378163,19.1479525832036,16.5417556538203,21.6745077711151
43,22.3689307897981,22.2740409152535,20.0171420746524,24.699409490047
