lon,-72.122800
lat,42.632500
elev,260.600000
ID,USC00190666

month_since_0_CE,realization,mean_prediction,PI95_low,PI95_up
1,2.42759943008423,2.4825873374939,0.183129727840424,6.95102214813232
2,2.15728831291199,2.7596173286438,0.907778680324554,5.61967802047729
3,5.92752456665039,5.30904579162598,2.14292192459106,10.4762058258057
4,3.65915107727051,4.161301612854,1.28686773777008,8.46173763275146
5,3.59748649597168,3.12247920036316,1.13070023059845,6.31568241119385
6,2.81656455993652,3.29521799087524,0.51096773147583,8.81633567810059
7,3.33596849441528,3.25675010681152,1.12337100505829,6.67840671539307
8,3.37860894203186,3.84059429168701,0.708751142024994,9.59651565551758
9,3.97419309616089,3.8012113571167,1.32386696338654,7.98227882385254
10,3.57851505279541,3.36486744880676,0.778495252132416,8.4077091217041
11,2.47919940948486,2.94508910179138,1.17287755012512,5.86278629302979
12,3.39933681488037,5.30490207672119,1.85486435890198,10.8493556976318
13,1.71776509284973,2.29521751403809,0.24408370256424,6.19938135147095
14,3.19215750694275,3.18743705749512,1.13441514968872,6.40491771697998
15,5.77606296539307,4.28695869445801,1.61351084709167,8.679856300354
16,3.23253011703491,3.65875840187073,1.27724838256836,7.59411096572876
17,3.70456218719482,3.06234908103943,1.06489181518555,6.13089799880981
18,2.52591609954834,3.29660844802856,0.614883482456207,9.32884883880615
19,2.05113434791565,3.03916549682617,1.04807615280151,5.94101142883301
20,4.9477014541626,3.75873565673828,0.701072931289673,9.0716438293457
21,4.13213586807251,4.09733104705811,1.49520623683929,8.39381408691406
22,2.9748215675354,3.0587432384491,0.644114017486572,7.75762033462524
23,3.40537261962891,3.11875486373901,1.20288372039795,6.04479265213013
24,3.90808296203613,3.80309200286865,1.07791137695312,8.0223970413208
25,1.00521469116211,2.02134251594543,0.0199951529502869,5.53205347061157
26,2.90586352348328,2.84787559509277,0.955594122409821,6.00356197357178
27,2.492192029953,3.1004855632782,0.929328799247742,6.1878604888916
28,4.55872821807861,3.04930710792542,0.963252305984497,6.57944536209106
29,3.55422115325928,2.96922945976257,1.00173377990723,6.05483531951904
30,4.08374071121216,3.44693756103516,0.64630651473999,9.07027149200439
31,1.23292016983032,3.11335325241089,1.16685819625854,5.98832082748413
32,2.25121259689331,2.93233060836792,0.502128899097443,7.39301490783691
33,4.91551876068115,4.12588739395142,1.50636601448059,8.4590015411377
34,1.88746607303619,2.1274266242981,0.255640685558319,5.56608295440674
35,3.23936891555786,3.07707619667053,1.16449546813965,5.95255613327026
36,4.66251611709595,4.88938140869141,1.70595872402191,10.64954662323
37,3.6934130191803,2.56390476226807,0.164970636367798,7.46119546890259
38,2.05525302886963,2.7446665763855,0.86587393283844,5.69733476638794
39,3.66865372657776,3.96483635902405,1.35536086559296,8.02730560302734
40,4.54865837097168,3.65242314338684,1.0957932472229,7.65602922439575
41,3.23978233337402,3.00737547874451,1.04065597057343,6.15490388870239
42,4.15254163742065,3.32556343078613,0.725301563739777,8.74440002441406
43,5.22571325302124,3.17579984664917,1.17982804775238,6.54620122909546
44,2.18097758293152,2.19192504882812,0.215802609920502,5.8364405632019
45,8.67915153503418,6.80840730667114,2.63064980506897,13.6397571563721
46,2.77246952056885,2.82545685768127,0.5293328166008,7.70065832138062
47,2.25310373306274,3.01249575614929,1.05555939674377,5.98826026916504
48,6.32988405227661,5.67745876312256,2.13189816474915,11.5024681091309
49,2.80347084999084,2.0719268321991,0.0576956272125244,6.0857834815979
50,2.55384564399719,3.14461898803711,1.03003466129303,6.69942665100098
51,5.49808979034424,4.70362091064453,1.89814972877502,9.54626750946045
52,6.463547706604,4.55984306335449,1.58063936233521,9.00768280029297
53,2.53905248641968,2.8655149936676,1.01386702060699,5.85847902297974
54,4.06464576721191,3.46943521499634,0.718966424465179,9.4687385559082
55,3.47205829620361,3.13716220855713,1.07387042045593,6.50783729553223
56,4.38699150085449,3.89842653274536,0.823113679885864,9.27610492706299
57,4.47110891342163,4.55096101760864,1.64914190769196,9.43883895874023
58,3.02088069915771,2.6857225894928,0.51302444934845,7.50126457214355
59,3.79998540878296,3.10420632362366,1.23120546340942,6.33060503005981
60,6.2838397026062,5.43404531478882,2.049485206604,10.5921020507812
61,1.94427871704102,2.23215556144714,0.135974884033203,6.75960826873779
62,3.30233359336853,2.54048633575439,0.755233108997345,5.35678100585938
63,4.46661853790283,4.22631359100342,1.57356607913971,8.35897636413574
64,6.25019264221191,3.55394625663757,1.17148447036743,7.8016185760498
65,3.20345687866211,2.97514224052429,1.08318376541138,5.97307157516479
66,2.68348407745361,3.41667604446411,0.651130259037018,8.85152053833008
67,2.56387281417847,3.12496089935303,1.1088033914566,6.26684093475342
68,3.50921511650085,3.52000761032104,0.650762975215912,8.7400951385498
69,2.88903903961182,3.33247566223145,1.13332152366638,6.96132755279541
70,3.27958631515503,2.91422152519226,0.556225597858429,7.90000534057617
71,4.17067909240723,3.402676820755,1.28003180027008,6.64417886734009
72,5.14765310287476,4.0602331161499,1.33020079135895,8.49236679077148
73,2.00613307952881,2.79457020759583,0.213534533977509,7.44186782836914
74,3.02693486213684,2.64910411834717,0.830794930458069,5.81362724304199
75,5.97867679595947,5.00033378601074,1.96801996231079,9.81828117370605
76,3.84315872192383,4.06657218933105,1.25835311412811,8.81102466583252
77,1.69981813430786,3.02205491065979,0.968903660774231,6.22652339935303
78,2.06356525421143,3.35210752487183,0.579339563846588,9.3184700012207
79,2.33308553695679,3.22004079818726,1.18309509754181,6.77811527252197
80,5.10501098632812,4.11353588104248,0.963876008987427,10.9881229400635
81,4.79272937774658,3.2652153968811,0.921148836612701,7.14399766921997
82,3.94082975387573,2.96755528450012,0.523003160953522,7.59113025665283
83,3.09149503707886,3.27190279960632,1.26547372341156,6.41841506958008
84,1.69053101539612,4.44633483886719,1.65938889980316,9.17269992828369
85,1.74434041976929,2.72144484519958,0.203894376754761,7.04020500183105
86,2.04554390907288,2.31917953491211,0.658139526844025,5.2107105255127
87,4.39865016937256,4.26517009735107,1.43473756313324,8.67891693115234
88,7.50338935852051,4.2366189956665,1.30512952804565,8.75809669494629
89,2.20764684677124,2.92391705513,1.02819442749023,5.96884155273438
90,2.95240926742554,3.35280275344849,0.561927020549774,7.96006298065186
91,2.96847486495972,3.21677494049072,1.02250933647156,6.0558032989502
92,2.81419634819031,3.1526460647583,0.531173467636108,8.23420715332031
93,3.36768865585327,5.36158800125122,1.87221002578735,10.9712858200073
94,3.15285778045654,3.20560622215271,0.636183202266693,8.02438449859619
95,3.42609357833862,3.54706311225891,1.24833536148071,6.80969667434692
96,3.61902475357056,4.51594686508179,1.66621506214142,9.06377124786377
97,2.67649579048157,2.59083986282349,0.421762108802795,6.87999677658081
98,2.16379141807556,3.17760229110718,1.05057060718536,6.55174350738525
99,2.56381916999817,3.6209352016449,1.27030313014984,7.4784369468689
100,6.66135406494141,3.82683444023132,1.36597418785095,7.6838550567627
101,2.60028743743896,2.98431706428528,0.868561267852783,6.09598779678345
102,4.18154048919678,3.45964002609253,0.651681363582611,9.14579200744629
103,3.3882999420166,3.23610830307007,1.09127008914948,6.51095676422119
104,3.03330445289612,2.86423468589783,0.400875985622406,7.81724214553833
105,5.84624862670898,5.36874198913574,2.1975154876709,11.1284160614014
106,3.4033374786377,2.78267359733582,0.463218688964844,7.04922246932983
107,1.87089550495148,3.20269131660461,1.26876258850098,6.39711999893188
108,6.21962308883667,5.16776371002197,1.75570976734161,10.8672761917114
109,2.13353037834167,2.59329748153687,0.262697637081146,6.73695850372314
110,2.46850180625916,3.67269897460938,1.32014346122742,7.2034273147583
111,4.16258239746094,4.76992988586426,1.80364906787872,9.22367668151855
112,4.7261381149292,4.52174091339111,1.66289687156677,8.95857048034668
113,2.63832187652588,2.93699955940247,0.993025422096252,6.29108190536499
114,2.92522048950195,3.46938848495483,0.692454874515533,9.19089508056641
115,2.39307308197021,3.21702146530151,1.10067665576935,6.34408140182495
116,6.15190601348877,5.53002882003784,1.34587633609772,13.5770282745361
117,3.910315990448,3.78854894638062,1.25508570671082,7.75962400436401
118,2.12147665023804,2.37516927719116,0.395957767963409,6.31606483459473
119,2.18408012390137,3.08885359764099,1.10241889953613,5.82923078536987
120,4.27695751190186,3.69248819351196,1.20418381690979,7.50074100494385
121,1.75585889816284,2.3041524887085,0.139203608036041,6.35831212997437
122,1.72534084320068,1.8874636888504,0.485636174678802,4.08951139450073
123,4.52193164825439,5.21166229248047,2.15324211120605,9.9672908782959
124,4.78718519210815,4.51854228973389,1.65233314037323,9.03188896179199
125,1.39020466804504,2.9869282245636,1.00945734977722,6.15447807312012
126,3.99699544906616,3.36298656463623,0.632385492324829,8.31476402282715
127,3.1044340133667,3.30309963226318,1.2731237411499,6.75534248352051
128,2.61610007286072,3.42607116699219,0.641333878040314,8.85240173339844
